A	Part of speech: adjective
N3T.ASN	Part of speech: noun, 3rd declension<br />Case: accusative<br />Number: singular<br />Gender: neuter
N3T.DPF	Part of speech: noun, 3rd declension<br />Case: dative<br />Number: plural<br />Gender: feminine
N3T.DPM	Part of speech: noun, 3rd declension<br />Case: dative<br />Number: plural<br />Gender: masculine
N3T.DPN	Part of speech: noun, 3rd declension<br />Case: dative<br />Number: plural<br />Gender: neuter
N3T.DSF	Part of speech: noun, 3rd declension<br />Case: dative<br />Number: singular<br />Gender: feminine
N3T.DSM	Part of speech: noun, 3rd declension<br />Case: dative<br />Number: singular<br />Gender: masculine
N3T.DSN	Part of speech: noun, 3rd declension<br />Case: dative<br />Number: singular<br />Gender: neuter
N3T.GPF	Part of speech: noun, 3rd declension<br />Case: genitive<br />Number: plural<br />Gender: feminine
N3T.GPM	Part of speech: noun, 3rd declension<br />Case: genitive<br />Number: plural<br />Gender: masculine
N3T.GPN	Part of speech: noun, 3rd declension<br />Case: genitive<br />Number: plural<br />Gender: neuter
N3T.GSF	Part of speech: noun, 3rd declension<br />Case: genitive<br />Number: singular<br />Gender: feminine
N3T.GSM	Part of speech: noun, 3rd declension<br />Case: genitive<br />Number: singular<br />Gender: masculine
N3T.GSN	Part of speech: noun, 3rd declension<br />Case: genitive<br />Number: singular<br />Gender: neuter
N3T.NPF	Part of speech: noun, 3rd declension<br />Case: nominative<br />Number: plural<br />Gender: feminine
N3T.NPM	Part of speech: noun, 3rd declension<br />Case: nominative<br />Number: plural<br />Gender: masculine
N3T.NPN	Part of speech: noun, 3rd declension<br />Case: nominative<br />Number: plural<br />Gender: neuter
N3T.NSF	Part of speech: noun, 3rd declension<br />Case: nominative<br />Number: singular<br />Gender: feminine
N3T.NSM	Part of speech: noun, 3rd declension<br />Case: nominative<br />Number: singular<br />Gender: masculine
N3T.NSN	Part of speech: noun, 3rd declension<br />Case: nominative<br />Number: singular<br />Gender: neuter
N3U.APF	Part of speech: noun, 3rd declension<br />Case: accusative<br />Number: plural<br />Gender: feminine
N3U.APM	Part of speech: noun, 3rd declension<br />Case: accusative<br />Number: plural<br />Gender: masculine
N3U.ASF	Part of speech: noun, 3rd declension<br />Case: accusative<br />Number: singular<br />Gender: feminine
N3U.ASM	Part of speech: noun, 3rd declension<br />Case: accusative<br />Number: singular<br />Gender: masculine
N3U.DPF	Part of speech: noun, 3rd declension<br />Case: dative<br />Number: plural<br />Gender: feminine
N3U.DPM	Part of speech: noun, 3rd declension<br />Case: dative<br />Number: plural<br />Gender: masculine
N3U.DSF	Part of speech: noun, 3rd declension<br />Case: dative<br />Number: singular<br />Gender: feminine
N3U.DSM	Part of speech: noun, 3rd declension<br />Case: dative<br />Number: singular<br />Gender: masculine
N3U.GPF	Part of speech: noun, 3rd declension<br />Case: genitive<br />Number: plural<br />Gender: feminine
N3U.GPM	Part of speech: noun, 3rd declension<br />Case: genitive<br />Number: plural<br />Gender: masculine
N3U.GSF	Part of speech: noun, 3rd declension<br />Case: genitive<br />Number: singular<br />Gender: feminine
N3U.GSM	Part of speech: noun, 3rd declension<br />Case: genitive<br />Number: singular<br />Gender: masculine
N3U.NPF	Part of speech: noun, 3rd declension<br />Case: nominative<br />Number: plural<br />Gender: feminine
N3U.NPM	Part of speech: noun, 3rd declension<br />Case: nominative<br />Number: plural<br />Gender: masculine
N3U.NSF	Part of speech: noun, 3rd declension<br />Case: nominative<br />Number: singular<br />Gender: feminine
N3U.NSM	Part of speech: noun, 3rd declension<br />Case: nominative<br />Number: singular<br />Gender: masculine
N3U.NSN	Part of speech: noun, 3rd declension<br />Case: nominative<br />Number: singular<br />Gender: neuter
N3V.APM	Part of speech: noun, 3rd declension<br />Case: accusative<br />Number: plural<br />Gender: masculine
N3V.ASM	Part of speech: noun, 3rd declension<br />Case: accusative<br />Number: singular<br />Gender: masculine
N3V.DPM	Part of speech: noun, 3rd declension<br />Case: dative<br />Number: plural<br />Gender: masculine
N3V.DSM	Part of speech: noun, 3rd declension<br />Case: dative<br />Number: singular<br />Gender: masculine
N3V.GPM	Part of speech: noun, 3rd declension<br />Case: genitive<br />Number: plural<br />Gender: masculine
N3V.GSM	Part of speech: noun, 3rd declension<br />Case: genitive<br />Number: singular<br />Gender: masculine
N3V.NPM	Part of speech: noun, 3rd declension<br />Case: nominative<br />Number: plural<br />Gender: masculine
N3V.NSM	Part of speech: noun, 3rd declension<br />Case: nominative<br />Number: singular<br />Gender: masculine
N3.VPF	Part of speech: noun, 3rd declension<br />Case: vocative<br />Number: plural<br />Gender: feminine
N3.VPM	Part of speech: noun, 3rd declension<br />Case: vocative<br />Number: plural<br />Gender: masculine
N3.VSF	Part of speech: noun, 3rd declension<br />Case: vocative<br />Number: singular<br />Gender: feminine
N3.VSM	Part of speech: noun, 3rd declension<br />Case: vocative<br />Number: singular<br />Gender: masculine
N3V.VPM	Part of speech: noun, 3rd declension<br />Case: vocative<br />Number: plural<br />Gender: masculine
N3V.VSM	Part of speech: noun, 3rd declension<br />Case: vocative<br />Number: singular<br />Gender: masculine
N3W.APF	Part of speech: noun, 3rd declension<br />Case: accusative<br />Number: plural<br />Gender: feminine
N3W.APM	Part of speech: noun, 3rd declension<br />Case: accusative<br />Number: plural<br />Gender: masculine
N3W.APN	Part of speech: noun, 3rd declension<br />Case: accusative<br />Number: plural<br />Gender: neuter
N3W.ASF	Part of speech: noun, 3rd declension<br />Case: accusative<br />Number: singular<br />Gender: feminine
N3W.ASM	Part of speech: noun, 3rd declension<br />Case: accusative<br />Number: singular<br />Gender: masculine
N3W.ASN	Part of speech: noun, 3rd declension<br />Case: accusative<br />Number: singular<br />Gender: neuter
N3W.DPM	Part of speech: noun, 3rd declension<br />Case: dative<br />Number: plural<br />Gender: masculine
N3W.DSF	Part of speech: noun, 3rd declension<br />Case: dative<br />Number: singular<br />Gender: feminine
N3W.DSM	Part of speech: noun, 3rd declension<br />Case: dative<br />Number: singular<br />Gender: masculine
N3W.DSN	Part of speech: noun, 3rd declension<br />Case: dative<br />Number: singular<br />Gender: neuter
N3W.GPM	Part of speech: noun, 3rd declension<br />Case: genitive<br />Number: plural<br />Gender: masculine
N3W.GSF	Part of speech: noun, 3rd declension<br />Case: genitive<br />Number: singular<br />Gender: feminine
N3W.GSM	Part of speech: noun, 3rd declension<br />Case: genitive<br />Number: singular<br />Gender: masculine
N3W.GSN	Part of speech: noun, 3rd declension<br />Case: genitive<br />Number: singular<br />Gender: neuter
N3W.NPF	Part of speech: noun, 3rd declension<br />Case: nominative<br />Number: plural<br />Gender: feminine
N3W.NPM	Part of speech: noun, 3rd declension<br />Case: nominative<br />Number: plural<br />Gender: masculine
N3W.NSF	Part of speech: noun, 3rd declension<br />Case: nominative<br />Number: singular<br />Gender: feminine
N3W.NSM	Part of speech: noun, 3rd declension<br />Case: nominative<br />Number: singular<br />Gender: masculine
N3W.VSF	Part of speech: noun, 3rd declension<br />Case: vocative<br />Number: singular<br />Gender: feminine
N3X.NSF	Part of speech: noun, 3rd declension<br />Case: nominative<br />Number: singular<br />Gender: feminine
N.A	Part of speech: noun, indeclinable proper noun<br />Case: accusative
N.APF	Part of speech: noun, indeclinable proper noun<br />Case: accusative<br />Number: plural<br />Gender: feminine
N.APM	Part of speech: noun, indeclinable proper noun<br />Case: accusative<br />Number: plural<br />Gender: masculine
N.APN	Part of speech: noun, indeclinable proper noun<br />Case: accusative<br />Number: plural<br />Gender: neuter
N.AS	Part of speech: noun, indeclinable proper noun<br />Case: accusative<br />Number: singular
N.ASF	Part of speech: noun, indeclinable proper noun<br />Case: accusative<br />Number: singular<br />Gender: feminine
N.ASM	Part of speech: noun, indeclinable proper noun<br />Case: accusative<br />Number: singular<br />Gender: masculine
N.ASN	Part of speech: noun, indeclinable proper noun<br />Case: accusative<br />Number: singular<br />Gender: neuter
N.DPF	Part of speech: noun, indeclinable proper noun<br />Case: dative<br />Number: plural<br />Gender: feminine
N.DPM	Part of speech: noun, indeclinable proper noun<br />Case: dative<br />Number: plural<br />Gender: masculine
N.DPN	Part of speech: noun, indeclinable proper noun<br />Case: dative<br />Number: plural<br />Gender: neuter
N.DS	Part of speech: noun, indeclinable proper noun<br />Case: dative<br />Number: singular
N.DSF	Part of speech: noun, indeclinable proper noun<br />Case: dative<br />Number: singular<br />Gender: feminine
N.DSM	Part of speech: noun, indeclinable proper noun<br />Case: dative<br />Number: singular<br />Gender: masculine
N.DSN	Part of speech: noun, indeclinable proper noun<br />Case: dative<br />Number: singular<br />Gender: neuter
N.G	Part of speech: noun, indeclinable proper noun<br />Case: genitive
N.GP	Part of speech: noun, indeclinable proper noun<br />Case: genitive<br />Number: plural
N.GPF	Part of speech: noun, indeclinable proper noun<br />Case: genitive<br />Number: plural<br />Gender: feminine
N.GPM	Part of speech: noun, indeclinable proper noun<br />Case: genitive<br />Number: plural<br />Gender: masculine
N.GPN	Part of speech: noun, indeclinable proper noun<br />Case: genitive<br />Number: plural<br />Gender: neuter
N.GS	Part of speech: noun, indeclinable proper noun<br />Case: genitive<br />Number: singular
N.GSF	Part of speech: noun, indeclinable proper noun<br />Case: genitive<br />Number: singular<br />Gender: feminine
N.GSM	Part of speech: noun, indeclinable proper noun<br />Case: genitive<br />Number: singular<br />Gender: masculine
N.GSN	Part of speech: noun, indeclinable proper noun<br />Case: genitive<br />Number: singular<br />Gender: neuter
N.N	Part of speech: noun, indeclinable proper noun<br />Case: nominative
N.NP	Part of speech: noun, indeclinable proper noun<br />Case: nominative<br />Number: plural
N.NPF	Part of speech: noun, indeclinable proper noun<br />Case: nominative<br />Number: plural<br />Gender: feminine
N.NPM	Part of speech: noun, indeclinable proper noun<br />Case: nominative<br />Number: plural<br />Gender: masculine
N.NPN	Part of speech: noun, indeclinable proper noun<br />Case: nominative<br />Number: plural<br />Gender: neuter
N.NS	Part of speech: noun, indeclinable proper noun<br />Case: nominative<br />Number: singular
N.NSF	Part of speech: noun, indeclinable proper noun<br />Case: nominative<br />Number: singular<br />Gender: feminine
N.NSM	Part of speech: noun, indeclinable proper noun<br />Case: nominative<br />Number: singular<br />Gender: masculine
N.NSN	Part of speech: noun, indeclinable proper noun<br />Case: nominative<br />Number: singular<br />Gender: neuter
N.S	Part of speech: noun, indeclinable proper noun
N.SF	Part of speech: noun, indeclinable proper noun
NS.GSM	Part of speech: noun, indeclinable proper noun<br />Case: genitive<br />Number: singular<br />Gender: masculine
N.SN	Part of speech: noun, indeclinable proper noun
N.VPF	Part of speech: noun, indeclinable proper noun<br />Case: vocative<br />Number: plural<br />Gender: feminine
N.VPM	Part of speech: noun, indeclinable proper noun<br />Case: vocative<br />Number: plural<br />Gender: masculine
N.VPN	Part of speech: noun, indeclinable proper noun<br />Case: vocative<br />Number: plural<br />Gender: neuter
N.VS	Part of speech: noun, indeclinable proper noun<br />Case: vocative<br />Number: singular
N.VSF	Part of speech: noun, indeclinable proper noun<br />Case: vocative<br />Number: singular<br />Gender: feminine
N.VSM	Part of speech: noun, indeclinable proper noun<br />Case: vocative<br />Number: singular<br />Gender: masculine
N.VSN	Part of speech: noun, indeclinable proper noun<br />Case: vocative<br />Number: singular<br />Gender: neuter
P	Part of speech: prepostition
RA.APF	Part of speech: pronoun, relative<br />Case: accusative<br />Number: plural<br />Gender: feminine
RA.APM	Part of speech: pronoun, relative<br />Case: accusative<br />Number: plural<br />Gender: masculine
RA.APN	Part of speech: pronoun, relative<br />Case: accusative<br />Number: plural<br />Gender: neuter
RA.ASF	Part of speech: pronoun, relative<br />Case: accusative<br />Number: singular<br />Gender: feminine
RA.ASM	Part of speech: pronoun, relative<br />Case: accusative<br />Number: singular<br />Gender: masculine
RA.ASN	Part of speech: pronoun, relative<br />Case: accusative<br />Number: singular<br />Gender: neuter
RA.DP	Part of speech: pronoun, relative<br />Case: dative<br />Number: plural
RA.DPF	Part of speech: pronoun, relative<br />Case: dative<br />Number: plural<br />Gender: feminine
RA.DPM	Part of speech: pronoun, relative<br />Case: dative<br />Number: plural<br />Gender: masculine
RA.DPN	Part of speech: pronoun, relative<br />Case: dative<br />Number: plural<br />Gender: neuter
RA.DS	Part of speech: pronoun, relative<br />Case: dative<br />Number: singular
RA.DSF	Part of speech: pronoun, relative<br />Case: dative<br />Number: singular<br />Gender: feminine
RA.DSM	Part of speech: pronoun, relative<br />Case: dative<br />Number: singular<br />Gender: masculine
RA.DSN	Part of speech: pronoun, relative<br />Case: dative<br />Number: singular<br />Gender: neuter
RA.GP	Part of speech: pronoun, relative<br />Case: genitive<br />Number: plural
RA.GPF	Part of speech: pronoun, relative<br />Case: genitive<br />Number: plural<br />Gender: feminine
RA.GPM	Part of speech: pronoun, relative<br />Case: genitive<br />Number: plural<br />Gender: masculine
RA.GPN	Part of speech: pronoun, relative<br />Case: genitive<br />Number: plural<br />Gender: neuter
RA.GS	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular
RA.GSF	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular<br />Gender: feminine
RA.GSM	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular<br />Gender: masculine
RA.GSN	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular<br />Gender: neuter
RA.NPF	Part of speech: pronoun, relative<br />Case: nominative<br />Number: plural<br />Gender: feminine
RA.NPM	Part of speech: pronoun, relative<br />Case: nominative<br />Number: plural<br />Gender: masculine
RA.NPN	Part of speech: pronoun, relative<br />Case: nominative<br />Number: plural<br />Gender: neuter
RA.NSF	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular<br />Gender: feminine
RA.NSM	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular<br />Gender: masculine
RA.NSN	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular<br />Gender: neuter
RA.VPF	Part of speech: pronoun, relative<br />Case: vocative<br />Number: plural<br />Gender: feminine
RA.VPM	Part of speech: pronoun, relative<br />Case: vocative<br />Number: plural<br />Gender: masculine
RA.VPN	Part of speech: pronoun, relative<br />Case: vocative<br />Number: plural<br />Gender: neuter
RA.VSF	Part of speech: pronoun, relative<br />Case: vocative<br />Number: singular<br />Gender: feminine
RA.VSM	Part of speech: pronoun, relative<br />Case: vocative<br />Number: singular<br />Gender: masculine
RA.VSN	Part of speech: pronoun, relative<br />Case: vocative<br />Number: singular<br />Gender: neuter
RD.APF	Part of speech: pronoun, relative<br />Case: accusative<br />Number: plural<br />Gender: feminine
RD.APM	Part of speech: pronoun, relative<br />Case: accusative<br />Number: plural<br />Gender: masculine
RD.APN	Part of speech: pronoun, relative<br />Case: accusative<br />Number: plural<br />Gender: neuter
RD.ASF	Part of speech: pronoun, relative<br />Case: accusative<br />Number: singular<br />Gender: feminine
RD.ASM	Part of speech: pronoun, relative<br />Case: accusative<br />Number: singular<br />Gender: masculine
RD.ASN	Part of speech: pronoun, relative<br />Case: accusative<br />Number: singular<br />Gender: neuter
RD.DPF	Part of speech: pronoun, relative<br />Case: dative<br />Number: plural<br />Gender: feminine
RD.DPM	Part of speech: pronoun, relative<br />Case: dative<br />Number: plural<br />Gender: masculine
RD.DPN	Part of speech: pronoun, relative<br />Case: dative<br />Number: plural<br />Gender: neuter
RD.DSF	Part of speech: pronoun, relative<br />Case: dative<br />Number: singular<br />Gender: feminine
RD.DSM	Part of speech: pronoun, relative<br />Case: dative<br />Number: singular<br />Gender: masculine
RD.DSN	Part of speech: pronoun, relative<br />Case: dative<br />Number: singular<br />Gender: neuter
RD.GPF	Part of speech: pronoun, relative<br />Case: genitive<br />Number: plural<br />Gender: feminine
RD.GPM	Part of speech: pronoun, relative<br />Case: genitive<br />Number: plural<br />Gender: masculine
RD.GPN	Part of speech: pronoun, relative<br />Case: genitive<br />Number: plural<br />Gender: neuter
RD.GS	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular
RD.GSF	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular<br />Gender: feminine
RD.GSM	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular<br />Gender: masculine
RD.GSN	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular<br />Gender: neuter
RD.NPF	Part of speech: pronoun, relative<br />Case: nominative<br />Number: plural<br />Gender: feminine
RD.NPM	Part of speech: pronoun, relative<br />Case: nominative<br />Number: plural<br />Gender: masculine
RD.NPN	Part of speech: pronoun, relative<br />Case: nominative<br />Number: plural<br />Gender: neuter
RD.NSF	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular<br />Gender: feminine
RD.NSM	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular<br />Gender: masculine
RD.NSN	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular<br />Gender: neuter
RI	Part of speech: pronoun, relative
RI.APF	Part of speech: pronoun, relative<br />Case: accusative<br />Number: plural<br />Gender: feminine
RI.APM	Part of speech: pronoun, relative<br />Case: accusative<br />Number: plural<br />Gender: masculine
RI.APN	Part of speech: pronoun, relative<br />Case: accusative<br />Number: plural<br />Gender: neuter
RI.AS	Part of speech: pronoun, relative<br />Case: accusative<br />Number: singular
RI.ASF	Part of speech: pronoun, relative<br />Case: accusative<br />Number: singular<br />Gender: feminine
RI.ASM	Part of speech: pronoun, relative<br />Case: accusative<br />Number: singular<br />Gender: masculine
RI.ASN	Part of speech: pronoun, relative<br />Case: accusative<br />Number: singular<br />Gender: neuter
RI.D	Part of speech: pronoun, relative<br />Case: dative
RI.DPM	Part of speech: pronoun, relative<br />Case: dative<br />Number: plural<br />Gender: masculine
RI.DPN	Part of speech: pronoun, relative<br />Case: dative<br />Number: plural<br />Gender: neuter
RI.DSF	Part of speech: pronoun, relative<br />Case: dative<br />Number: singular<br />Gender: feminine
RI.DSM	Part of speech: pronoun, relative<br />Case: dative<br />Number: singular<br />Gender: masculine
RI.DSN	Part of speech: pronoun, relative<br />Case: dative<br />Number: singular<br />Gender: neuter
RI.GPF	Part of speech: pronoun, relative<br />Case: genitive<br />Number: plural<br />Gender: feminine
RI.GPM	Part of speech: pronoun, relative<br />Case: genitive<br />Number: plural<br />Gender: masculine
RI.GPN	Part of speech: pronoun, relative<br />Case: genitive<br />Number: plural<br />Gender: neuter
RI.GS	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular
RI.GSF	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular<br />Gender: feminine
RI.GSM	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular<br />Gender: masculine
RI.GSN	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular<br />Gender: neuter
RI.NPF	Part of speech: pronoun, relative<br />Case: nominative<br />Number: plural<br />Gender: feminine
RI.NPM	Part of speech: pronoun, relative<br />Case: nominative<br />Number: plural<br />Gender: masculine
RI.NPN	Part of speech: pronoun, relative<br />Case: nominative<br />Number: plural<br />Gender: neuter
RI.NS	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular
RI.NSF	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular<br />Gender: feminine
RI.NSM	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular<br />Gender: masculine
RI.NSN	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular<br />Gender: neuter
RP.AP	Part of speech: pronoun, relative<br />Case: accusative<br />Number: plural
RP.APF	Part of speech: pronoun, relative<br />Case: accusative<br />Number: plural<br />Gender: feminine
RP.APM	Part of speech: pronoun, relative<br />Case: accusative<br />Number: plural<br />Gender: masculine
RP.APN	Part of speech: pronoun, relative<br />Case: accusative<br />Number: plural<br />Gender: neuter
RP.AS	Part of speech: pronoun, relative<br />Case: accusative<br />Number: singular
RP.ASF	Part of speech: pronoun, relative<br />Case: accusative<br />Number: singular<br />Gender: feminine
RP.ASM	Part of speech: pronoun, relative<br />Case: accusative<br />Number: singular<br />Gender: masculine
RP.ASN	Part of speech: pronoun, relative<br />Case: accusative<br />Number: singular<br />Gender: neuter
RP.DP	Part of speech: pronoun, relative<br />Case: dative<br />Number: plural
RP.DPF	Part of speech: pronoun, relative<br />Case: dative<br />Number: plural<br />Gender: feminine
RP.DPM	Part of speech: pronoun, relative<br />Case: dative<br />Number: plural<br />Gender: masculine
RP.DPN	Part of speech: pronoun, relative<br />Case: dative<br />Number: plural<br />Gender: neuter
RP.DS	Part of speech: pronoun, relative<br />Case: dative<br />Number: singular
RP.DSF	Part of speech: pronoun, relative<br />Case: dative<br />Number: singular<br />Gender: feminine
RP.DSM	Part of speech: pronoun, relative<br />Case: dative<br />Number: singular<br />Gender: masculine
RP.DSN	Part of speech: pronoun, relative<br />Case: dative<br />Number: singular<br />Gender: neuter
RP.GP	Part of speech: pronoun, relative<br />Case: genitive<br />Number: plural
RP.GPF	Part of speech: pronoun, relative<br />Case: genitive<br />Number: plural<br />Gender: feminine
RP.GPM	Part of speech: pronoun, relative<br />Case: genitive<br />Number: plural<br />Gender: masculine
RP.GPN	Part of speech: pronoun, relative<br />Case: genitive<br />Number: plural<br />Gender: neuter
RP.GS	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular
RP.GSF	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular<br />Gender: feminine
RP.GSM	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular<br />Gender: masculine
RP.GSN	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular<br />Gender: neuter
RP.NP	Part of speech: pronoun, relative<br />Case: nominative<br />Number: plural
RP.NPM	Part of speech: pronoun, relative<br />Case: nominative<br />Number: plural<br />Gender: masculine
RP.NPN	Part of speech: pronoun, relative<br />Case: nominative<br />Number: plural<br />Gender: neuter
RP.NS	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular
RP.NSF	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular<br />Gender: feminine
RP.NSM	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular<br />Gender: masculine
RP.NSN	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular<br />Gender: neuter
RP.VS	Part of speech: pronoun, relative<br />Case: vocative<br />Number: singular
RR.APF	Part of speech: pronoun, relative<br />Case: accusative<br />Number: plural<br />Gender: feminine
RR.APM	Part of speech: pronoun, relative<br />Case: accusative<br />Number: plural<br />Gender: masculine
RR.APN	Part of speech: pronoun, relative<br />Case: accusative<br />Number: plural<br />Gender: neuter
RR.ASF	Part of speech: pronoun, relative<br />Case: accusative<br />Number: singular<br />Gender: feminine
RR.ASM	Part of speech: pronoun, relative<br />Case: accusative<br />Number: singular<br />Gender: masculine
RR.ASN	Part of speech: pronoun, relative<br />Case: accusative<br />Number: singular<br />Gender: neuter
RR.DPF	Part of speech: pronoun, relative<br />Case: dative<br />Number: plural<br />Gender: feminine
RR.DPM	Part of speech: pronoun, relative<br />Case: dative<br />Number: plural<br />Gender: masculine
RR.DPN	Part of speech: pronoun, relative<br />Case: dative<br />Number: plural<br />Gender: neuter
RR.DSF	Part of speech: pronoun, relative<br />Case: dative<br />Number: singular<br />Gender: feminine
RR.DSM	Part of speech: pronoun, relative<br />Case: dative<br />Number: singular<br />Gender: masculine
RR.DSN	Part of speech: pronoun, relative<br />Case: dative<br />Number: singular<br />Gender: neuter
RR.GPF	Part of speech: pronoun, relative<br />Case: genitive<br />Number: plural<br />Gender: feminine
RR.GPM	Part of speech: pronoun, relative<br />Case: genitive<br />Number: plural<br />Gender: masculine
RR.GPN	Part of speech: pronoun, relative<br />Case: genitive<br />Number: plural<br />Gender: neuter
RR.GSF	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular<br />Gender: feminine
RR.GSM	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular<br />Gender: masculine
RR.GSN	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular<br />Gender: neuter
RR.NPF	Part of speech: pronoun, relative<br />Case: nominative<br />Number: plural<br />Gender: feminine
RR.NPM	Part of speech: pronoun, relative<br />Case: nominative<br />Number: plural<br />Gender: masculine
RR.NPN	Part of speech: pronoun, relative<br />Case: nominative<br />Number: plural<br />Gender: neuter
RR.NSF	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular<br />Gender: feminine
RR.NSM	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular<br />Gender: masculine
RR.NSN	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular<br />Gender: neuter
RX.GSM	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular<br />Gender: masculine
RX.GSN	Part of speech: pronoun, relative<br />Case: genitive<br />Number: singular<br />Gender: neuter
RX.NPF	Part of speech: pronoun, relative<br />Case: nominative<br />Number: plural<br />Gender: feminine
RX.NPM	Part of speech: pronoun, relative<br />Case: nominative<br />Number: plural<br />Gender: masculine
RX.NSF	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular<br />Gender: feminine
RX.NSM	Part of speech: pronoun, relative<br />Case: nominative<br />Number: singular<br />Gender: masculine
V1.AAD2S	Part of speech: verb, progressive, regular present<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: singular
V1.AAI1S	Part of speech: verb, progressive, regular present<br />Tense: aorist<br />Voice: active<br />Person: first<br />Number: singular
V1.AAI2S	Part of speech: verb, progressive, regular present<br />Tense: aorist<br />Voice: active<br />Person: second<br />Number: singular
V1.AAN	Part of speech: verb, progressive, regular present<br />Tense: aorist<br />Voice: active
V1.FAI2S	Part of speech: verb, progressive, regular present<br />Tense: future<br />Voice: active<br />Person: second<br />Number: singular
V1.FAI3P	Part of speech: verb, progressive, regular present<br />Tense: future<br />Voice: active<br />Person: third<br />Number: plural
V1.IAI3P	Part of speech: verb, progressive, regular present<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: third<br />Number: plural
V1.IAI3S	Part of speech: verb, progressive, regular present<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: third<br />Number: singular
V1I.IAI1P	Part of speech: verb, progressive, regular present, augmented<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: first<br />Number: plural
V1I.IAI1S	Part of speech: verb, progressive, regular present, augmented<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: first<br />Number: singular
V1I.IAI2P	Part of speech: verb, progressive, regular present, augmented<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: second<br />Number: plural
V1I.IAI2S	Part of speech: verb, progressive, regular present, augmented<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: second<br />Number: singular
V1I.IAI3P	Part of speech: verb, progressive, regular present, augmented<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: third<br />Number: plural
V1I.IAI3S	Part of speech: verb, progressive, regular present, augmented<br />Tense: imperfect<br />Voice: active<br />Mood: indicative<br />Person: third<br />Number: singular
V1I.IMI1S	Part of speech: verb, progressive, regular present, augmented<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: first<br />Number: singular
V1I.IMI2P	Part of speech: verb, progressive, regular present, augmented<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: second<br />Number: plural
V1I.IMI2S	Part of speech: verb, progressive, regular present, augmented<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: second<br />Number: singular
V1I.IMI3P	Part of speech: verb, progressive, regular present, augmented<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: third<br />Number: plural
V1I.IMI3S	Part of speech: verb, progressive, regular present, augmented<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: third<br />Number: singular
V1I.IPI3S	Part of speech: verb, progressive, regular present, augmented<br />Tense: imperfect<br />Voice: passive<br />Mood: indicative<br />Person: third<br />Number: singular
V1.IMI1S	Part of speech: verb, progressive, regular present<br />Tense: imperfect<br />Voice: middle<br />Mood: indicative<br />Person: first<br />Number: singular
